temple_id,name,category,city,area,state,country,deity,description,aarti_timings,timings,guidance,latitude,longitude,contact,youtube_url,images,is_verified
jyotirling-somnath-temple-gujarat,Somnath Temple – Gujarat,Jyotirlinga,Prabhas Patan,,Gujarat,India,Lord Shiva,"Somnath Temple is the first among the twelve sacred Jyotirling shrines of Lord Shiva, located at Prabhas Patan on the Gujarat coast. Revered for its deep spiritual significance and long history of restoration, Somnath remains a premier pilgrimage destination where devotees gather for daily darshan, aarti, and traditional rituals.","{""Mangala Aarti"": ""7:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 9:00 PM""}","To reach Somnath Temple, travel to Veraval railway station (7 km) or Diu airport (80 km), then continue by taxi or local transport. Visit during early morning or evening aarti for a smoother experience.",20.888,70.4012,02876 231 200,https://www.youtube.com/embed/live_stream?channel=UCXhail7h5FDRbHprlR56nIw,[],True
jyotirling-mallikarjuna-temple-srisailam,Mallikarjuna Temple – Srisailam,Jyotirlinga,Srisailam,,Andhra Pradesh,India,Lord Shiva,"Mallikarjuna Jyotirling at Srisailam in Andhra Pradesh is a sacred site revered both as a Jyotirlinga and a Shakti Peetha (Bhramaramba Devi). Set in the Nallamala hills along the Krishna River, it is one of the holiest shrines in South India.","{""Suprabhata Seva"": ""4:30 AM"", ""Maha Mangala Aarti"": ""12:00 PM"", ""Ratri Aarti"": ""8:30 PM""}","{""Darshan"": ""4:30 AM - 3:30 PM, 6:00 PM - 10:00 PM""}",Reach Hyderabad or Kurnool and take a scenic road journey to Srisailam through the forest reserve. Book accommodation in advance during Mahashivratri and Shravan month.,16.0728,78.8686,+91-8524-288888,https://www.youtube.com/watch?v=nIWRUyfS5PA,[],True
jyotirling-mahakaleshwar-temple-ujjain,Mahakaleshwar Temple – Ujjain,Jyotirlinga,Ujjain,,Madhya Pradesh,India,Lord Shiva,"Mahakaleshwar Jyotirling in Ujjain is famous for its Dakshinmukhi (south-facing) idol and the world-renowned daily morning Bhasma Aarti. Situated on the banks of the holy Kshipra River, Ujjain is a key Kumbh Mela host city.","{""Bhasma Aarti"": ""4:00 AM"", ""Madhyahna Aarti"": ""10:30 AM"", ""Sandhya Aarti"": ""6:00 PM""}","{""Darshan"": ""4:00 AM - 11:00 PM""}",Reach Ujjain Junction railway station or Indore Airport (55 km). Advance online booking is strictly required for inner-sanctum Bhasma Aarti attendance.,23.1828,75.7682,0734 255 0563,https://www.youtube.com/embed/live_stream?channel=UCQE_hlxeDSuw4YpuAkDmrMg,[],True
jyotirling-omkareshwar-temple-madhya-pradesh,Omkareshwar Temple – Madhya Pradesh,Jyotirlinga,Khandwa,,Madhya Pradesh,India,Lord Shiva,"Omkareshwar Jyotirling is located on Mandhata Island in the Narmada River, naturally shaped like the sacred symbol 'OM'. Devotees cross the Narmada via bridges or boats to seek blessings of Lord Omkareshwar and Mamleshwar.","{""Mangala Aarti"": ""5:00 AM"", ""Madhyan Bhog"": ""12:20 PM"", ""Sandhya Aarti"": ""8:00 PM""}","{""Darshan"": ""5:00 AM - 9:30 PM""}",Reach Indore (80 km) or Khandwa (70 km) by rail/road. Complete both Omkareshwar and Mamleshwar temple visits to fulfill the traditional island pilgrimage.,22.2456,76.151,+91-7323-271227,https://shriomkareshwar.org/LiveDarshan.aspx,[],True
jyotirling-kedarnath-temple-uttarakhand,Kedarnath Temple – Uttarakhand,Jyotirlinga,Rudraprayag,,Uttarakhand,India,Lord Shiva,"Kedarnath Temple, situated near the Mandakini River at an altitude of 3,583 meters in the Garhwal Himalayas, is one of the holiest Shiva shrines and part of the Chota Char Dham yatra.","{""Morning Aarti"": ""6:00 AM"", ""Shiv Sahasranama Puja"": ""6:00 PM"", ""Evening Aarti"": ""7:30 PM""}","{""Darshan"": ""6:00 AM - 3:00 PM, 5:00 PM - 8:00 PM""}","Reach Gaurikund via Rishikesh/Haridwar, then complete the 16 km mountain trek to Kedarnath. Biometric Yatra registration is mandatory for all pilgrims.",30.7352,79.0669,+91-135-2746847,https://www.youtube.com/embed/live_stream?channel=UC7Uo3euG3IA0yBlQyIXDcUA,[],True
jyotirling-bhimashankar-temple-maharashtra,Bhimashankar Temple – Maharashtra,Jyotirlinga,Pune district,,Maharashtra,India,Lord Shiva,Bhimashankar Jyotirling is located in the dense Sahyadri forest range near Pune. It is the origin of the Bhima River and is built in ancient Nagara-style architecture amidst lush wildlife sanctuary flora.,"{""Kakada Aarti"": ""4:30 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""9:30 PM""}","{""Darshan"": ""4:30 AM - 9:30 PM""}",Accessible by direct MSRTC state buses or taxis from Pune (110 km) and Mumbai (210 km). Monsoon season brings heavy rain and breathtaking natural scenery.,19.0714,73.553,+91-2135-243333,https://www.youtube.com/live/O5ohAPCGsho,[],True
jyotirling-kashi-vishwanath-temple-varanasi,Kashi Vishwanath Temple – Varanasi,Jyotirlinga,Varanasi,,Uttar Pradesh,India,Lord Shiva,"Kashi Vishwanath Jyotirling in Varanasi (Kashi) stands on the western bank of the sacred Ganges. Revered as the spiritual capital of India, the recently constructed Vishwanath Corridor directly connects the temple with Ganga Ghats.","{""Mangala Aarti"": ""3:00 AM"", ""Bhog Aarti"": ""11:15 AM"", ""Sapt Rishi Aarti"": ""7:00 PM""}","{""Darshan"": ""4:00 AM - 11:00 PM""}",Reach Varanasi Junction railway station or Babatpur Airport. Carry valid photo ID for quick entry through the Kashi Vishwanath Corridor security gates.,25.3109,83.0107,0542 239 2629,https://www.youtube.com/embed/live_stream?channel=UCijUmzuXOxyLWv0APau_5xw,[],True
jyotirling-trimbakeshwar-temple-nashik,Trimbakeshwar Temple – Nashik,Jyotirlinga,Nashik,,Maharashtra,India,Lord Shiva,"Trimbakeshwar Jyotirling near Nashik is unique because its lingam features three faces representing Brahma, Vishnu, and Mahesh. It marks the holy source of the Godavari River at Brahmagiri hill.","{""Mangala Aarti"": ""5:30 AM"", ""Madhyan Aarti"": ""1:00 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""5:30 AM - 9:00 PM""}",Reach Nashik Road station (38 km) and take city buses or taxis to Trimbak town. Special pujas like Kalsarpa Shanti require pre-registration with registered temple pandits.,19.9419,73.5298,02594 220 555,https://www.trimbakeshwartrust.com,[],True
jyotirling-baidyanath-temple-deoghar,Baidyanath Temple – Deoghar,Jyotirlinga,Deoghar,,Jharkhand,India,Lord Shiva,Baidyanath Dham in Deoghar (Baba Dham) is revered as the divine healer Lord Shiva's home. Millions of Kanwariyas trek from Sultanganj carrying sacred Ganga water during the holy month of Shravan.,"{""Mangala Aarti"": ""4:00 AM"", ""Bhog Aarti"": ""1:00 PM"", ""Sandhya Aarti"": ""6:30 PM""}","{""Darshan"": ""4:00 AM - 3:30 PM, 6:00 PM - 9:00 PM""}",Deoghar is well connected by Jasidih Junction railway station (8 km) and Deoghar Airport. Ensure advance queue pass booking during Shravan Mela.,24.4844,86.6994,+91-6432-232295,https://www.youtube.com/embed/live_stream?channel=UCXKgkQYWYVFM6HpCkmuOFFw,[],True
jyotirling-nageshwar-temple-dwarka,Nageshwar Temple – Dwarka,Jyotirlinga,Dwarka,,Gujarat,India,Lord Shiva,Nageshwar Jyotirling is located between Dwarka city and Beyt Dwarka island. The shrine features a famous giant 85-foot statue of Lord Shiva sitting in majestic meditation posture.,"{""Mangala Aarti"": ""5:00 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""5:00 AM - 9:00 PM""}",Located 16 km from Dwarka railway station along the highway to Beyt Dwarka. Combine your visit with Dwarkadhish Mandir and Beyt Dwarka for a full coastal pilgrimage.,22.4707,69.086,+91-2892-234080,https://livedarshanhub.com/temple/nageshwar-jyotirlinga-temple/,[],True
